stringID,sourceLang,targetLang,pos,description,sourceString,targetString
25,en,st,,,14 days in isolation,nako ya ho butswa ha lefu ya matsatsi a 14
26,en,st,,,14 days quarantine,ho kwallwa thoko ha matsatsi a 14
27,en,st,,,2019 coronavirus,2019 coronavirus
28,en,st,,,2019 novel coronavirus,coronavirus e sa tlwaelehang ya 2019
29,en,st,,,2019-nCoV,2019-nCoV
30,en,st,,,2020 coronavirus,2020 coronavirus
31,en,st,,,2020 novel coronavirus,coronavirus e sa tlwaelehang ya 2020
33,en,st,,,about coronavirus,mabapi le coronavirus
39,en,st,,,acute respiratory distress syndrome,mafu a totileng a hatellang phefumoloho
40,en,st,,,advanced hand sanitizer,sebolaya-mahloko sa matsoho se hatetseng pele
41,en,st,,,Affected by coronavirus,Ya anngweng ke coronavirus
42,en,st,,,after exposure,kamora kgahlamelo
43,en,st,,,After the epidemic,Kamora seewa
44,en,st,,,After the outbreak,Kamora ho qhoma ha lefu
47,en,st,,,airborne virus,vaerase e jalehang ka moya
48,en,st,,,alcohol based hand sanitizer,sebolaya-mahloko sa alkhohole
49,en,st,,,alcohol hand sanitizer,sebolaya-mahloko sa alkhohole
51,en,st,,,alcohol-based hand sanitizer,sebolaya-mahloko sa matsoho sa alkhohole
59,en,st,,,Anti-Corona virus spray,Senyanyatsi se bolayang vaerase ya Corona
60,en,st,,,antibacterial hand sanitizer,sebolaya-mahloko sa matsoho sa baktheria
61,en,st,,,ARDS,ARDS
64,en,st,,,avoid exposure,qoba kgahlamelo
65,en,st,,,be infected,ho tshwaetswa
75,en,st,,,Beware of coronavirus,Lemoha coronavirus
76,en,st,,,bilateral interstitial pneumonia,temalo ya matshwafo ke nyomoea
77,en,st,,,CDC,CDC
78,en,st,,,Center for Disease Control,Setsi sa Taolo ya Mafu
83,en,st,,,community spread,ho jaleha setjhabeng
84,en,st,,,compulsory quarantine,ho ikwalla thoko ka qobello
85,en,st,,,contagious,e a tshwaetsana
135,en,st,,,coronavirus,ioronavirus
136,en,st,,,coronavirus (COVID-19),coronavirus (COVID-19)
137,en,st,,,coronavirus alert,temoso ya coronavirus
139,en,st,,,coronavirus cases,diketsahalo tsa coronavirus
141,en,st,,,coronavirus concerns,dingongoreho tsa coronavirus
143,en,st,,,coronavirus crisis,tlokotsi ya coronavirus
149,en,st,,,coronavirus disease,bokudi ba coronavirus
150,en,st,,,Coronavirus disease (COVID-19) outbreak,Ho qhoma ha lefu la coronavirus (COVID-19)
153,en,st,,,coronavirus early symptoms,matshwao a pele a coronavirus
155,en,st,,,coronavirus epidemic,sewa sa coronavirus
156,en,st,,,coronavirus exposure,kgahlamelo ke coronavirus
