stringID,sourceLang,targetLang,pos,description,sourceString,targetString
xx_301,es-419,en,,,persona infectada,infected person
xx_302,es-419,en,,,síntomas gastrointestinales,gastrointestinal symptoms
xx_303,es-419,en,,,coronavirus muertos,coronavirus dead
xx_304,es-419,en,,,coronavirus morfología,coronavirus morphology
xx_305,es-419,en,,,oms,WHO
xx_306,es-419,en,,,síntomas,symptoms
xx_307,es-419,en,,,coronavirus en perros,coronavirus in dogs
xx_308,es-419,en,,,edema pulmonar,pulmonary edema
xx_309,es-419,en,,,síndrome respiratorio de Oriente Medio,Middle East Respiratory Syndrome
xx_310,es-419,en,,,síndrome respiratorio agudo severo,severe acute respiratory syndrome
xx_311,es-419,en,,,zoonosis,zoonosis
xx_312,es-419,en,,,coronavirus últimas noticias,latest coronavirus news
xx_313,es-419,en,,,brote de covid-19,covid-19 outbreak
xx_314,es-419,en,,,epicentro del brote,epicenter of the outbreak
xx_315,es-419,en,,,gravedad del brote,severity of the outbreak
xx_316,es-419,en,,,multitudes,crowds
xx_317,es-419,en,,,ancianos,seniors
xx_318,es-419,en,,,sistema de salud,healthcare system
xx_319,es-419,en,,,confinamiento total,total isolation
xx_320,es-419,en,,,grupo de riesgo,at-risk group
xx_321,es-419,en,,,aislamiento preventivo obligatorio,obligatory preventive isolation
xx_322,es-419,en,,,casos descartados,cases ruled out
xx_323,es-419,en,,,casos importados,imported cases
xx_324,es-419,en,,,adultos mayores,older adults
xx_325,es-419,en,,,COVID-19 y gripe,COVID-19 and the flu
xx_326,es-419,en,,,transmisión comunitaria,community spread
xx_327,es-419,en,,,protección personal,personal protection
xx_328,es-419,en,,,lavado de manos,handwashing
xx_329,es-419,en,,,contagio,contagion
xx_330,es-419,en,,,niños,children
xx_331,es-419,en,,,vuelos cancelados,canceled flights
xx_332,es-419,en,,,medidas de prevención,preventive measures
xx_333,es-419,en,,,declaración jurada,sworn declaration
xx_334,es-419,en,,,vuelo afectado,affected flight
xx_335,es-419,en,,,restricciones a viajes,travel restrictions
xx_336,es-419,en,,,Organización Mundial del Turismo,World Tourism Organization
xx_337,es-419,en,,,sector turístico,tourism sector
xx_338,es-419,en,,,emergencia sanitaria,health emergency
xx_339,es-419,en,,,autoridades sanitarias,health authorities
xx_340,es-419,en,,,patógenos,pathogens
xx_341,es-419,en,,,transmisión,transmission
xx_342,es-419,en,,,epidemiología,epidemiology
xx_343,es-419,en,,,mutar,mutate
xx_344,es-419,en,,,propagación,spread
xx_345,es-419,en,,,informe de situación,status report
xx_346,es-419,en,,,resultados,results
xx_347,es-419,en,,,distanciamiento social,social distancing
xx_348,es-419,en,,,fármacos,drugs
xx_349,es-419,en,,,flexibilización de políticas,policy relaxation
xx_350,es-419,en,,,cierre de fronteras,border closure
