stringID,sourceLang,targetLang,pos,description,sourceString,targetString
xx_601,ja,en,,,新型コロナウイルス感染症,COVID-19 infection
xx_602,ja,en,,,新型コロナウイルス感染症対策,Countermeasures for COVID-19 infection
xx_603,ja,en,,,新型コロナウイルスの感染拡大,Spread of COVID-19 infection
xx_604,ja,en,,,新型コロナウィルス対応の経済対策,Economic measures in response to COVID-19
xx_605,ja,en,,,コロナ問題,COVID-19 problems
xx_606,ja,en,,,新型コロナウイルス感染症患者,COVID-19 infectious patients
xx_607,ja,en,,,コロナウイルス感染症防疫対策,Preventative measures for COVID-19
xx_608,ja,en,,,新型コロナウイルス対策本部,Headquarters for COVID-19
xx_609,ja,en,,,新型コロナウイルス陽性者数,Number of COVID-19 positive people
xx_610,ja,en,,,新型コロナ健康相談窓口相談件数,Number of inquiries to health consultation counter for COVID-19
xx_611,ja,en,,,新型コロナウィルス専用健康相談窓口,Health consultation counter exclusively for COVID-19
xx_612,ja,en,,,コロナ五輪強行,Forcing through Olympics despite coronavirus
xx_613,ja,en,,,新型肺炎、パチンコ,"Coronavirus, pachinko"
xx_614,ja,en,,,コロナ感染者数,Number of people infected with coronavirus
xx_615,ja,en,,,コロナ感染,Coronavirus infection
xx_616,ja,en,,,コロナウイルスが原因,Coronavirus is the cause
xx_617,ja,en,,,ネココロナウイルス感染症,Feline coronavirus infection
xx_618,ja,en,,,新型コロナウイルスの感染爆発,Explosion of COVID-19 infection
xx_619,ja,en,,,SARS系のコロナウイルス,SARS coronavirus
xx_620,ja,en,,,新型コロナウイルスの感染阻止,COVID-19 infection inhibition
xx_621,ja,en,,,新型コロナウイルス対応策,Measures for COVID-19
xx_622,ja,en,,,新型コロナウイルス感染初期,Early stage of COVID-19 infection
xx_623,ja,en,,,新型コロナウイルス感染症（COVID-19）の原因ウイルス,Virus responsible for novel coronavirus (COVID-19) infection
xx_624,ja,en,,,MERSコロナウイルス,MERS coronavirus
xx_625,ja,en,,,COVID-19に対する妊婦の感受性,Receptivity of pregnant women to COVID-19
xx_626,ja,en,,,COVID-19の妊婦,Pregnant women with COVID-19
xx_627,ja,en,,,新生児のCOVID-19,COVID-19 in newborn babies
xx_628,ja,en,,,新型コロナウイルスの感染経路,Infection route of COVID-19
xx_629,ja,en,,,新型コロナウイルスによる死者,Deaths due to COVID-19
xx_630,ja,en,,,新型ウイルスの危険性,Risk of COVID-19
xx_631,ja,en,,,コロナ騒動,Corona riot
xx_632,ja,en,,,コロナ疲れ,Corona weariness
xx_633,ja,en,,,コロナ疲労,Corona fatigue
xx_634,ja,en,,,コロナ鬱,Corona depression
xx_635,ja,en,,,新型コロナウイルス関連マニュアル,Manuals related to COVID-19
xx_636,ja,en,,,新型コロナウイルスに係わる教育活動,Educational activity concerned with COVID-19
xx_637,ja,en,,,新型コロナウイルス感染拡大防止要請,Demand for measures to prevent the spread of COVID-19 infection
xx_638,ja,en,,,近隣地域におけるコロナウイルスの感染状況,Status of coronavirus infection in neighbouring regions
xx_639,ja,en,,,新型コロナウイルスの影響,Impact of COVID-19
xx_640,ja,en,,,コロナウイルス拡散防止,Containment measures for coronavirus
xx_641,ja,en,,,新型コロナ自粛中,In self-isolation due to COVID-19
xx_642,ja,en,,,新型コロナ終息時の回復策,Recovery measures at the end of COVID-19
xx_643,ja,en,,,新型コロナウイルス基本情報,Basic information on COVID-19
xx_644,ja,en,,,ウイルス対策マスク着用,Wearing of mask for infection control
xx_645,ja,en,,,コロナ収束後旅行,Travel after the end of coronavirus
xx_646,ja,en,,,新型コロナによる予約無料キャンセル,Free cancelation of reservation due to COVID-19
xx_647,ja,en,,,新型コロナウイルスに伴う米国渡航,Travel to the United States at the time of COVID-19
xx_648,ja,en,,,コロナ患者,Coronavirus patients
xx_649,ja,en,,,新型コロナウイルスによるイベント中止,Event cancellation due to COVID-19
xx_650,ja,en,,,新型コロナウイルスによる航空需要の減少,Decline in demand for air-transportation due to COVID-19
