stringID,sourceLang,targetLang,pos,description,sourceString,targetString
1,en,kk,adjective,"In the context of coronavirus (COVID-19): transmissible by direct or indirect contact with an infected person (describes the disease or the virus, not a person).",contagious,жұқпалы
2,en,kk,noun,In the context of coronavirus (COVID-19): known cases of people who currently have the disease.,active cases,белсенді жағдайлар
3,en,kk,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have been confirmed via medical testing.,confirmed cases,расталған жағдайлар
4,en,kk,proper noun,"Short for ""Centers for Disease Control and Prevention"": a US federal agency under the Department of Health and Human Services, whose main goal is to protect public health and safety through the control and prevention of disease.",CDC,CDC (Ауруларды бақылау және алдын алу орталығы)
5,en,kk,noun,"A formal name for the disease caused by the SARS-CoV-2 virus, responsible for the 2019/2020 global pandemic.",COVID-19,COVID-19
6,en,kk,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,COVID-19 testing center,COVID-19 сынақ орталығы
7,en,kk,noun,"An informal name for the SARS-CoV-2 virus (also known as ""novel coronavirus""), responsible for the 2019/2020 global pandemic of COVID-19 (the disease caused by the virus). Sometimes refers to the entire category of coronaviruses, of which SARS-CoV-2 is just one example.",coronavirus,коронавирус
8,en,kk,noun,"In the context of coronavirus (COVID-19): a mask covering the nose, mouth and/or eyes of the wearer, intended to protect the wearer from spreading or contracting pathogens.",face mask,бетперде
9,en,kk,noun,"In the context of coronavirus (COVID-19): can be a person, such as a doctor, but also an organization, such as a hospital or insurance company.",healthcare provider,денсаулық сақтау қызметі
10,en,kk,noun,"In the context of coronavirus (COVID-19): a person who works in healthcare, such as a doctor or therapist.",healthcare professional,медициналық қызметкер
11,en,kk,noun,"In the context of coronavirus (COVID-19): the practice of cleaning one's hands, e.g. with water and soap, in order to get rid of the virus and other pathogens.",hand-washing,қол жуу
12,en,kk,noun,In the context of coronavirus (COVID-19): the period of time between infection and the appearance of symptoms of the disease.,incubation period,инкубациялық кезең
13,en,kk,noun,In the context of coronavirus (COVID-19): the practice of separating sick people from healthy people to prevent the spread of disease.,isolation,оқшаулау
14,en,kk,noun,In the context of the coronavirus (COVID-19): the practice of restricting the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,карантин
15,en,kk,verb,In the context of the coronavirus (COVID-19): to restrict the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,карантин
16,en,kk,proper noun,"Short for ""National Institutes of Health Agency"": the primary US government agency responsible for biomedical and public health research; part of the United States Department of Health and Human Services.",NIH,NIH (Ұлттық денсаулық зерттеу орталығы)
17,en,kk,noun,"In the context of coronavirus (COVID-19): being within a close distance (1-2m) of another person, not necessarily having actual physical contact. Close contact is one possible way for the virus to spread from person to person.",close contact,жақын қашықтық
18,en,kk,noun,In the context of coronavirus (COVID-19): the process of the virus spreading from person to person.,transmission,берілу
19,en,kk,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have resulted in the end of the infected person's life.,deaths,өлім саны
20,en,kk,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,testing center,сынақ орталығы
21,en,kk,verb,"In the context of the coronavirus (COVID-19): to infect new people, in a particular area or globally.",spread,таралу
22,en,kk,verb,A header for a set of five recommendations surfaced to users looking for coronavirus tips. See: https://www.google.com/search?q=coronavirus+tips&fbx=dothefive,Do the Five,5 сақтық шарасы
23,en,kk,proper noun,"A specialized agency of the United Nations that is concerned with world public health. Abbreviated as ""WHO"". See: https://en.wikipedia.org/wiki/World_Health_Organization",World Health Organization,Дүниежүзілік денсаулық сақтау ұйымы
24,en,kk,proper noun,"Short for ""World Health Organization"": a specialized agency of the United Nations that is concerned with world public health. See: https://en.wikipedia.org/wiki/World_Health_Organization",WHO,WHO (Дүниежүзілік денсаулық сақтау ұйымы)
25,en,kk,,,14 days in isolation,оқшаулауда 14 күн
26,en,kk,,,14 days quarantine,14 күндік карантин
27,en,kk,,,2019 coronavirus,2019 коронавирус
28,en,kk,,,2019 novel coronavirus,2019 жылғы жаңа коронавирус
29,en,kk,,,2019-nCoV,2019-nCoV
30,en,kk,,,2020 coronavirus,2020 коронавирус
31,en,kk,,,2020 novel coronavirus,2020 жылғы жаңа коронавирус
33,en,kk,,,about coronavirus,коронавирус туралы
39,en,kk,,,acute respiratory distress syndrome,шұғыл респираторлық ауытқу синдромы
40,en,kk,,,advanced hand sanitizer,озық қол санитайзері
41,en,kk,,,Affected by coronavirus,Коронавирус әсері тиген
42,en,kk,,,after exposure,экспозициядан кейін
43,en,kk,,,After the epidemic,Эпидемиядан кейін
44,en,kk,,,After the outbreak,Жайылудан кейін
47,en,kk,,,airborne virus,ауа-тамшылы вирус
48,en,kk,,,alcohol based hand sanitizer,спирт негізіндегі қол санитайзері
49,en,kk,,,alcohol hand sanitizer,спиртті қол санитайзері
51,en,kk,,,alcohol-based hand sanitizer,спирт негізіндегі қол санитайзері
59,en,kk,,,Anti-Corona virus spray,Коронавирусқа қарсы спрей
60,en,kk,,,antibacterial hand sanitizer,бактерияға қарсы қол санитайзері
61,en,kk,,,ARDS,ARDS
64,en,kk,,,avoid exposure,экспозицияны болдырмау
65,en,kk,,,be infected,жұқтыру
75,en,kk,,,Beware of coronavirus,Коронавирустан сақ болыңыз
76,en,kk,,,bilateral interstitial pneumonia,екіжақты аралық пневмония
77,en,kk,,,CDC,CDC
78,en,kk,,,Center for Disease Control,Індетті бақылау және алдын алу орталығы
83,en,kk,,,community spread,қауымда таралу
84,en,kk,,,compulsory quarantine,мәжбүрлі карантин
85,en,kk,,,contagious,жұқпалы
135,en,kk,,,coronavirus,коронавирус
136,en,kk,,,coronavirus (COVID-19),коронавирус (COVID-19)
137,en,kk,,,coronavirus alert,коронавирус туралы ескерту
139,en,kk,,,coronavirus cases,коронавирус жағдайлары
141,en,kk,,,coronavirus concerns,коронавирус мәселелері
143,en,kk,,,coronavirus crisis,коронавирус дағдарысы
149,en,kk,,,coronavirus disease,коронавирус кеселі
150,en,kk,,,Coronavirus disease (COVID-19) outbreak,Коронавирус індетінің (COVID-19) жайылуы
153,en,kk,,,coronavirus early symptoms,коронавирустың алғашқы белгілері
155,en,kk,,,coronavirus epidemic,коронавирус эпидемиясы
156,en,kk,,,coronavirus exposure,коронавирус экспозициясы
161,en,kk,,,coronavirus incubation,коронавирус инкубациясы
162,en,kk,,,coronavirus incubation period,коронавирустың инкубациялық кезеңі
163,en,kk,,,coronavirus infection,коронавирус инфекциясы
168,en,kk,,,coronavirus map,коронавирус картасы
170,en,kk,,,coronavirus medicine,коронавирус дәрісі
171,en,kk,,,coronavirus medicines,коронавирус дәрілері
172,en,kk,,,coronavirus news,коронавирус жаңалықтары
